bez;ujahr;umonat;ustunde;uwochentag;ukategorie;uart;utyp1;ulichtverh;istrad;istpkw;istfuss;istkrad;istgkfz;istsonstige;ustrzustand;geometry
7;2018;5;12;7;3;2;6;0;0;1;0;0;0;0;0;POINT (13.3919909 52.46860645)
2;2018;3;8;5;3;6;6;0;1;0;1;0;0;0;0;POINT (13.38780284 52.49329165)
2;2018;11;19;6;3;6;7;2;1;0;1;0;0;0;0;POINT (13.44865466 52.5051185)
4;2018;10;13;3;3;2;6;0;0;1;0;0;0;0;0;POINT (13.29351933 52.49240641)
7;2018;8;16;1;3;6;2;0;0;1;1;0;0;0;0;POINT (13.38551442 52.4700919)
4;2018;4;17;7;3;2;6;0;0;1;0;0;0;0;0;POINT (13.28145445 52.50453704)
7;2018;4;1;1;3;9;1;2;0;1;0;0;0;0;1;POINT (13.40293075 52.46393491)
11;2018;5;10;1;2;2;6;0;0;1;0;0;0;0;0;POINT (13.48810864 52.51242968)
7;2018;10;21;3;3;5;2;2;0;1;0;0;0;0;0;POINT (13.39110836 52.43193989)
12;2018;3;17;5;3;5;3;1;1;1;0;0;0;0;0;POINT (13.36472555 52.56209019)
3;2018;12;5;7;3;6;4;2;1;0;1;0;0;0;1;POINT (13.41197365 52.54113816)
7;2018;9;18;3;2;2;1;0;0;1;0;0;0;0;0;POINT (13.36531297 52.47303791)
3;2018;8;20;4;3;3;6;1;1;1;0;0;0;0;1;POINT (13.42308629 52.52752742)
5;2018;6;12;4;2;6;4;0;0;1;1;0;0;0;0;POINT (13.19129987 52.51418553)
1;2018;7;16;2;3;0;7;0;1;0;0;0;0;1;0;POINT (13.36884623 52.54119318)
7;2018;3;16;5;3;2;6;0;0;1;0;0;0;0;0;POINT (13.38571487 52.46818781)
4;2018;11;17;6;3;2;6;2;0;1;0;0;0;0;0;POINT (13.28167519 52.52168876)
3;2018;6;16;4;2;0;2;0;1;1;0;0;0;0;0;POINT (13.41356905 52.55860859)
10;2018;5;12;2;2;2;6;0;0;1;0;1;0;0;0;POINT (13.55429795 52.55756529)
12;2018;12;20;7;3;2;6;2;0;1;0;0;0;0;1;POINT (13.36022075 52.57180971)
4;2018;10;14;4;2;3;6;0;0;1;0;1;0;0;0;POINT (13.31386613 52.51215835)
3;2018;3;19;5;2;0;1;2;1;0;0;0;0;0;0;POINT (13.39822143 52.57101301)
2;2018;7;15;1;3;5;3;0;0;1;0;0;0;0;0;POINT (13.38914389 52.49799442)
4;2018;4;10;2;3;3;6;0;0;1;0;0;0;1;0;POINT (13.30065802 52.48743993)
4;2018;7;15;6;3;2;2;0;0;1;0;0;0;0;0;POINT (13.27108131 52.50927745)
6;2018;3;13;3;3;3;3;0;0;1;0;0;0;1;0;POINT (13.17081467 52.4207945)
3;2018;5;17;2;3;0;1;0;0;0;0;1;0;0;0;POINT (13.46673423 52.55930623)
5;2018;10;13;1;3;4;6;0;1;0;0;0;0;0;0;POINT (13.14662831 52.49389638)
4;2018;3;8;4;3;2;6;0;0;1;0;0;0;0;0;POINT (13.28601312 52.51093714)
2;2018;11;17;6;3;2;6;2;0;1;0;0;0;0;0;POINT (13.46188262 52.51507451)
1;2018;9;17;5;3;6;6;0;1;0;1;0;0;0;0;POINT (13.36440379 52.5015952)
3;2018;8;18;3;3;2;2;0;1;0;0;1;0;0;0;POINT (13.43220014 52.53526723)
7;2018;6;14;6;2;2;6;0;1;1;0;0;0;1;0;POINT (13.35963316 52.48957961)
8;2018;6;14;1;3;3;6;0;0;1;0;1;0;0;0;POINT (13.45616516 52.46460634)
1;2018;8;9;2;3;2;6;0;0;1;0;1;0;0;0;POINT (13.34019406 52.5137587)
11;2018;5;11;4;3;2;6;0;0;1;0;0;0;1;0;POINT (13.4765842 52.5134504)
3;2018;4;20;2;3;6;4;2;1;0;1;0;0;0;0;POINT (13.41410612 52.5507491)
3;2018;12;9;5;3;3;6;0;1;0;0;0;0;0;0;POINT (13.4134615 52.54907073)
2;2018;9;18;4;3;6;4;1;1;0;1;0;0;0;0;POINT (13.44850875 52.50488094)
4;2018;9;14;5;2;2;6;0;0;1;0;0;0;0;0;POINT (13.27320485 52.49879762)
10;2018;7;16;4;3;0;2;0;1;1;0;0;0;0;0;POINT (13.610454 52.50479012)
2;2018;7;9;4;3;5;2;0;1;1;0;0;0;0;1;POINT (13.45374027 52.51593863)
7;2018;5;10;4;3;6;2;0;0;1;1;0;0;0;0;POINT (13.38256278 52.43938741)
7;2018;3;7;4;3;0;1;0;0;1;0;0;0;0;0;POINT (13.41218735 52.46101446)
3;2018;11;6;3;3;5;3;2;1;1;0;0;0;0;1;POINT (13.43695649 52.53973604)
10;2018;8;13;5;3;5;2;0;1;1;0;0;0;0;0;POINT (13.55342162 52.50934489)
7;2018;7;17;2;3;2;6;0;0;1;0;0;0;0;0;POINT (13.39888867 52.41887536)
3;2018;4;15;3;3;3;6;0;0;1;0;1;0;0;0;POINT (13.44826525 52.54721871)
7;2018;7;14;1;3;3;6;0;1;1;0;0;0;0;0;POINT (13.3539025 52.48507585)
3;2018;3;12;5;3;2;6;0;0;1;0;0;0;0;1;POINT (13.43779876 52.53406219)
4;2018;5;11;3;2;0;7;0;0;1;0;0;0;0;0;POINT (13.28191589 52.50619146)
11;2018;10;18;2;3;5;3;2;1;1;0;0;0;0;1;POINT (13.4772856 52.51338354)
7;2018;3;15;4;3;2;2;0;0;1;0;0;1;0;0;POINT (13.38037403 52.43782349)
9;2018;11;16;1;3;2;6;2;0;1;0;0;0;0;0;POINT (13.49696182 52.43459822)
1;2018;9;3;6;2;9;1;2;0;1;0;0;0;1;0;POINT (13.36729936 52.55178826)
2;2018;8;18;5;3;8;1;0;0;1;0;0;0;0;0;POINT (13.43933198 52.51720857)
2;2018;6;18;6;3;2;6;0;0;1;0;0;0;0;0;POINT (13.43094176 52.518084)
12;2018;6;19;6;3;0;1;0;0;0;0;1;0;0;0;POINT (13.36438027 52.5638701)
11;2018;6;17;1;3;5;2;0;1;1;0;0;0;0;0;POINT (13.47742678 52.5135153)
2;2018;8;7;3;2;6;4;0;0;1;1;0;0;0;0;POINT (13.44796075 52.50240978)
1;2018;5;8;4;3;2;4;0;1;0;1;0;0;0;0;POINT (13.37850496 52.50963693)
4;2018;4;9;3;3;3;2;0;0;1;0;1;0;0;0;POINT (13.28185624 52.5099301)
4;2018;12;14;6;3;2;6;0;0;1;0;0;0;0;0;POINT (13.28105941 52.49900142)
2;2018;9;9;5;3;5;2;0;1;1;0;0;0;0;0;POINT (13.46740703 52.51437131)
1;2018;9;20;6;3;1;5;2;1;1;0;0;0;1;0;POINT (13.39724929 52.51086976)
3;2018;7;21;4;3;5;3;2;1;1;0;0;0;0;0;POINT (13.39835408 52.57105112)
2;2018;3;10;2;3;6;4;0;1;0;1;0;0;0;0;POINT (13.46506183 52.51475935)
3;2018;7;10;5;3;2;6;0;0;1;0;1;0;0;0;POINT (13.40145701 52.58052142)
1;2018;3;13;2;3;3;6;0;0;1;0;0;0;0;0;POINT (13.37057247 52.5399748)
3;2018;5;14;5;3;5;2;0;1;1;0;0;0;0;0;POINT (13.42396899 52.53910744)
7;2018;2;16;3;3;6;4;0;0;1;1;0;0;0;0;POINT (13.3625878 52.49914639)
1;2018;11;19;4;3;2;6;2;0;1;0;0;0;0;0;POINT (13.39992702 52.51104054)
4;2018;9;5;1;3;2;6;0;0;1;0;0;0;0;0;POINT (13.28384512 52.52984077)
9;2018;8;8;6;3;3;6;0;0;1;0;0;1;0;0;POINT (13.45551702 52.4616266)
4;2018;3;9;1;3;0;1;0;1;0;0;0;0;0;2;POINT (13.31632696 52.51212916)
4;2018;10;10;2;3;2;6;0;0;1;0;0;0;0;0;POINT (13.29857167 52.53414287)
2;2018;8;14;4;3;2;6;0;0;1;0;0;0;0;0;POINT (13.45369522 52.51606764)
4;2018;4;14;5;3;5;2;0;0;1;0;0;0;0;0;POINT (13.30770592 52.51175511)
7;2018;4;18;5;2;5;2;0;0;1;0;1;0;0;0;POINT (13.3960456 52.42328254)
2;2018;6;17;5;3;5;2;0;1;1;0;0;0;0;0;POINT (13.38896468 52.49754575)
4;2018;12;22;5;2;0;1;2;0;0;0;1;0;0;1;POINT (13.29150086 52.4934075)
1;2018;9;17;7;3;2;6;0;0;1;0;1;0;0;1;POINT (13.40517361 52.52031985)
2;2018;9;18;2;3;2;6;0;0;1;0;1;0;0;0;POINT (13.37452489 52.50257126)
3;2018;6;17;1;3;5;3;0;1;0;0;0;0;0;0;POINT (13.4323079 52.53536007)
2;2018;7;10;5;3;5;2;0;1;1;0;0;0;0;0;POINT (13.45247843 52.51840854)
4;2018;5;19;6;3;2;6;0;0;1;0;0;0;0;0;POINT (13.24237077 52.50753431)
3;2018;2;17;3;3;6;4;1;0;1;1;0;0;0;0;POINT (13.44456493 52.54559323)
10;2018;11;18;5;2;6;2;2;0;1;1;0;0;0;0;POINT (13.55450777 52.55781022)
9;2018;10;16;2;3;0;2;0;0;1;0;0;0;1;0;POINT (13.49688265 52.46522384)
2;2018;8;15;1;2;4;7;0;1;0;0;0;0;0;0;POINT (13.43881168 52.51726158)
7;2018;4;9;7;3;3;6;0;0;1;0;0;0;0;0;POINT (13.38278766 52.43942538)
3;2018;4;18;7;3;6;7;0;1;0;1;0;0;0;1;POINT (13.44571838 52.54611943)
12;2018;5;7;1;3;3;6;0;0;1;0;0;1;0;0;POINT (13.30031566 52.54784546)
12;2018;10;17;2;3;6;4;1;0;1;1;0;0;0;0;POINT (13.36254975 52.56739789)
4;2018;2;14;3;3;2;6;0;0;1;0;0;0;0;0;POINT (13.24856748 52.50791945)
2;2018;11;23;5;3;2;6;2;0;1;0;0;0;0;1;POINT (13.45885426 52.51523806)
1;2018;9;8;2;3;2;6;0;1;1;0;0;0;0;0;POINT (13.36593503 52.55459007)
6;2018;8;12;3;2;5;2;0;1;1;0;0;0;0;0;POINT (13.26056446 52.43498453)
1;2018;6;20;3;3;0;3;0;1;0;0;1;0;0;0;POINT (13.40476803 52.51988376)
12;2018;7;17;2;2;6;4;0;0;1;1;0;0;0;0;POINT (13.36368451 52.56520493)
2;2018;6;9;4;2;6;4;0;0;1;1;0;0;0;0;POINT (13.44864808 52.50222726)
9;2018;5;13;1;3;5;3;0;0;1;0;1;0;0;0;POINT (13.51524979 52.4527044)
4;2018;4;10;7;2;5;2;0;0;1;0;0;0;0;0;POINT (13.31470485 52.51202144)
4;2018;12;22;6;2;6;2;2;0;1;1;0;0;0;1;POINT (13.30508345 52.51158411)
4;2018;10;13;2;3;6;7;0;1;0;1;0;0;0;0;POINT (13.32322284 52.51256741)
7;2018;2;10;3;3;5;3;0;0;1;0;0;1;0;0;POINT (13.35612777 52.4735449)
2;2018;7;11;1;3;5;2;0;1;0;0;0;0;1;0;POINT (13.38926219 52.49749705)
6;2018;4;15;2;3;1;1;0;0;1;0;0;0;0;0;POINT (13.23823673 52.43296739)
11;2018;7;8;4;3;2;2;0;1;1;0;0;0;0;0;POINT (13.47749391 52.51350874)
10;2018;3;7;2;3;4;6;0;1;0;0;0;0;0;1;POINT (13.5517891 52.50918022)
3;2018;5;8;2;2;5;2;0;1;1;0;0;0;0;0;POINT (13.41232218 52.54109314)
4;2018;10;15;1;3;2;6;0;0;1;0;0;0;1;1;POINT (13.28507685 52.5093387)
4;2018;2;9;3;3;5;2;0;1;1;0;0;0;0;0;POINT (13.29726872 52.51107109)
1;2018;11;8;5;3;0;2;0;1;1;0;0;0;0;0;POINT (13.42008463 52.52105395)
1;2018;9;22;4;3;3;6;2;0;1;0;0;0;0;0;POINT (13.36933959 52.53931944)
4;2018;8;15;3;3;2;6;0;0;0;0;1;0;1;0;POINT (13.28148097 52.52280048)
3;2018;6;16;5;2;0;3;0;0;1;0;1;0;0;0;POINT (13.43159481 52.62454612)
9;2018;6;4;6;3;5;3;1;1;1;0;0;0;0;0;POINT (13.46059988 52.49400855)
3;2018;8;19;1;3;2;6;1;0;1;0;0;0;0;0;POINT (13.43243579 52.53626638)
3;2018;5;14;3;3;6;4;0;0;1;1;0;0;0;0;POINT (13.41900354 52.53990224)
3;2018;4;16;2;3;5;2;0;1;1;0;0;0;0;0;POINT (13.41461757 52.55620801)
3;2018;12;18;2;3;2;6;1;0;1;0;0;1;0;1;POINT (13.479007 52.62734128)
10;2018;9;16;3;3;2;6;0;0;1;0;0;0;0;0;POINT (13.59130254 52.50508482)
3;2018;9;20;4;3;3;6;2;1;0;0;0;0;0;0;POINT (13.41480148 52.55480048)
2;2018;7;20;3;3;4;6;1;1;0;0;0;0;0;0;POINT (13.44760011 52.50363654)
2;2018;7;13;3;3;0;1;0;1;0;0;0;0;0;0;POINT (13.45375155 52.5159021)
7;2018;5;17;3;3;5;2;0;1;0;0;0;0;1;0;POINT (13.38578759 52.48116406)
1;2018;2;8;3;3;2;6;0;0;1;0;0;0;0;0;POINT (13.40141086 52.51140634)
4;2018;11;4;2;3;9;1;2;0;1;0;0;0;0;1;POINT (13.3144515 52.47939602)
2;2018;8;17;5;2;6;2;0;0;1;1;0;0;0;0;POINT (13.38870092 52.49814918)
3;2018;10;15;6;3;2;6;0;0;1;0;0;0;0;0;POINT (13.44657853 52.52763651)
3;2018;8;16;3;3;2;6;0;1;1;0;0;0;1;0;POINT (13.39841493 52.57773257)
4;2018;4;15;4;3;2;6;0;0;1;0;0;0;0;1;POINT (13.33993542 52.4785949)
1;2018;4;15;4;3;5;3;0;1;1;0;0;0;0;1;POINT (13.41845302 52.52411536)
